date,time,dataset,model,r2,rmsd,,,,,,,,,,,,,,,,,,,,,,
5/26/2013,15:15,clear-tiff-rgb,etr,98.94%,7.39%,,,,,,,,,,,,,,,,,,,,,,
5/26/2013,15:15,clear-tiff-hsl,etr,98.74%,8.42%,,,,,,,,,,,,,,,,,,,,,,
5/26/2013,15:15,clear-tiff-hsv,etr,99.01%,7.75%,,,,,,,,,,,,,,,,,,,,,,
5/26/2013,15:15,clear-tiff-lab,etr,99.02%,8.10%,,,,,,,,,,,,,,,,,,,,,,
5/26/2013,15:15,clear-tiff-rgb,rfr,98.80%,8.52%,,,,,,,,,,,,,,,,,,,,,,
5/26/2013,15:15,clear-tiff-hsl,rfr,98.97%,8.15%,,,,,,,,,,,,,,,,,,,,,,
5/26/2013,15:15,clear-tiff-hsv,rfr,98.98%,8.12%,,,,,,,,,,,,,,,,,,,,,,
5/26/2013,15:15,clear-tiff-lab,rfr,99.08%,7.88%,,,,,,,,,,,,,,,,,,,,,,
5/26/2013,15:15,clear-tiff-rgb,knr,98.32%,10.62%,,,,,,,,,,,,,,,,,,,,,,
5/26/2013,15:15,clear-tiff-hsl,knr,98.07%,11.64%,,,,,,,,,,,,,,,,,,,,,,
5/26/2013,15:15,clear-tiff-hsv,knr,98.14%,11.27%,,,,,,,,,,,,,,,,,,,,,,
5/26/2013,15:15,clear-tiff-lab,knr,98.33%,10.90%,,,,,,,,,,,,,,,,,,,,,,
5/26/2013,15:15,clear-tiff-rgb,lnr,92.93%,23.64%,,,,,,,,,,,,,,,,,,,,,,
5/26/2013,15:15,clear-tiff-hsl,lnr,92.55%,24.55%,,,,,,,,,,,,,,,,,,,,,,
5/26/2013,15:15,clear-tiff-hsv,lnr,92.43%,24.43%,,,,,,,,,,,,,,,,,,,,,,
5/26/2013,15:15,clear-tiff-lab,lnr,92.58%,23.92%,,,,,,,,,,,,,,,,,,,,,,
5/27/2013,10:15,clear-tiff-rgb,etr,99.53%,4.02%,,,,,,,,,,,,,,,,,,,,,,
5/27/2013,10:15,clear-tiff-hsl,etr,99.30%,5.22%,,,,,,,,,,,,,,,,,,,,,,
5/27/2013,10:15,clear-tiff-hsv,etr,99.18%,5.67%,,,,,,,,,,,,,,,,,,,,,,
5/27/2013,10:15,clear-tiff-lab,etr,99.04%,6.11%,,,,,,,,,,,,,,,,,,,,,,
5/27/2013,10:15,clear-tiff-rgb,rfr,98.45%,8.76%,,,,,,,,,,,,,,,,,,,,,,
5/27/2013,10:15,clear-tiff-hsl,rfr,97.95%,9.31%,,,,,,,,,,,,,,,,,,,,,,
5/27/2013,10:15,clear-tiff-hsv,rfr,98.38%,8.43%,,,,,,,,,,,,,,,,,,,,,,
