date,time,dataset,model,r2,rmsd,,,,,,,,,,,,,,,,,,,,,,
5/26/2013,15:15,clear-jpg-rgb,etr,98.99%,7.77%,,,,,,,,,,,,,,,,,,,,,,
5/26/2013,15:15,clear-jpg-rgb-exp6,etr,97.96%,8.72%,,,,,,,,,,,,,,,,,,,,,,
5/26/2013,15:15,clear-tiff-rgb,etr,98.94%,7.39%,,,,,,,,,,,,,,,,,,,,,,
5/26/2013,15:15,clear-jpg-hdr,etr,98.67%,9.11%,,,,,,,,,,,,,,,,,,,,,,
5/26/2013,15:15,clear-tiff-hdr,etr,98.76%,8.93%,,,,,,,,,,,,,,,,,,,,,,
5/27/2013,10:15,clear-jpg-rgb,etr,99.25%,5.33%,,,,,,,,,,,,,,,,,,,,,,
5/27/2013,10:15,clear-jpg-rgb-exp6,etr,99.17%,5.53%,,,,,,,,,,,,,,,,,,,,,,
5/27/2013,10:15,clear-tiff-rgb,etr,99.53%,4.02%,,,,,,,,,,,,,,,,,,,,,,
5/27/2013,10:15,clear-jpg-hdr,etr,98.15%,7.63%,,,,,,,,,,,,,,,,,,,,,,
5/27/2013,10:15,clear-tiff-hdr,etr,98.62%,7.55%,,,,,,,,,,,,,,,,,,,,,,
7/26/2013,13:15,clear-jpg-rgb,etr,99.44%,3.25%,,,,,,,,,,,,,,,,,,,,,,
7/26/2013,13:15,clear-jpg-rgb-exp6,etr,99.15%,3.82%,,,,,,,,,,,,,,,,,,,,,,
7/26/2013,13:15,clear-tiff-rgb,etr,98.62%,4.06%,,,,,,,,,,,,,,,,,,,,,,
7/26/2013,13:15,clear-jpg-hdr,etr,99.14%,4.01%,,,,,,,,,,,,,,,,,,,,,,
7/26/2013,13:15,clear-tiff-hdr,etr,98.61%,4.13%,,,,,,,,,,,,,,,,,,,,,,
9/24/2013,15:39,clear-jpg-rgb,etr,99.36%,4.20%,,,,,,,,,,,,,,,,,,,,,,
9/24/2013,15:39,clear-jpg-rgb-exp6,etr,99.13%,4.67%,,,,,,,,,,,,,,,,,,,,,,
9/24/2013,15:39,clear-tiff-rgb,etr,99.41%,4.21%,,,,,,,,,,,,,,,,,,,,,,
9/24/2013,15:39,clear-jpg-hdr,etr,98.93%,5.47%,,,,,,,,,,,,,,,,,,,,,,
9/24/2013,15:39,clear-tiff-hdr,etr,99.04%,4.61%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
